,date,exchange_rate_USD_JY,cpi_j,interest_r_j,inflation_j,gdp_pc_j,cpi_us,inflation_us,interest_r_us,gdp_pc_us,govt_debt_j,govt_debt_us
2704,1981-05-15,223.05,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.49,,52.876,
2705,1981-05-18,221.97,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.52,,52.876,
2706,1981-05-19,221.0,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.75,,52.876,
2707,1981-05-20,220.8,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,20.64,,52.876,
2708,1981-05-21,222.5,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,20.27,,52.876,
2709,1981-05-22,222.5,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,19.29,,52.876,
2710,1981-05-25,,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,19.29,,52.876,
2711,1981-05-26,224.35,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,17.97,,52.876,
2712,1981-05-27,224.95,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,15.54,,52.876,
2713,1981-05-28,224.0,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,17.32,,52.876,
2714,1981-05-29,223.9,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,17.56,,52.876,
2715,1981-06-01,222.5,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,19.01,,52.876,
2716,1981-06-02,223.85,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,19.45,,52.876,
2717,1981-06-03,223.4,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,20.35,,52.876,
2718,1981-06-04,226.4,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,20.05,,52.876,
2719,1981-06-05,227.8,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,19.99,,52.876,
2720,1981-06-08,227.9,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.73,,52.876,
2721,1981-06-09,228.1,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.36,,52.876,
2722,1981-06-10,225.45,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.22,,52.876,
2723,1981-06-11,226.1,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.76,,52.876,
2724,1981-06-12,224.15,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.33,,52.876,
2725,1981-06-15,219.7,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.83,,52.876,
2726,1981-06-16,220.15,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,19.39,,52.876,
2727,1981-06-17,220.9,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,21.71,,52.876,
2728,1981-06-18,222.1,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,20.68,,52.876,
2729,1981-06-19,223.35,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,20.61,,52.876,
2730,1981-06-22,222.52,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.75,,52.876,
2731,1981-06-23,221.8,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,16.75,,52.876,
2732,1981-06-24,222.8,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,16.37,,52.876,
2733,1981-06-25,225.45,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.43,,52.876,
2734,1981-06-26,224.85,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.39,,52.876,
2735,1981-06-29,225.85,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.55,,52.876,
2736,1981-06-30,226.85,78.3914482056503,6.25,4.91216291820522,20011.8292508853,90.5,10.3347153402771,18.64,,52.876,
2737,1981-07-01,228.25,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,21.09,30319.0,52.876,30.60333
2738,1981-07-02,226.75,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,20.54,30319.0,52.876,30.60333
2739,1981-07-03,228.5,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,19.83,30319.0,52.876,30.60333
2740,1981-07-06,229.83,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,19.94,30319.0,52.876,30.60333
2741,1981-07-07,228.75,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,19.71,30319.0,52.876,30.60333
2742,1981-07-08,229.45,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,19.82,30319.0,52.876,30.60333
2743,1981-07-09,228.85,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,20.34,30319.0,52.876,30.60333
2744,1981-07-10,228.3,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,19.06,30319.0,52.876,30.60333
2745,1981-07-13,228.3,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,18.42,30319.0,52.876,30.60333
2746,1981-07-14,231.0,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,17.65,30319.0,52.876,30.60333
2747,1981-07-15,230.6,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,17.72,30319.0,52.876,30.60333
2748,1981-07-16,231.28,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,18.8,30319.0,52.876,30.60333
2749,1981-07-17,231.97,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,17.88,30319.0,52.876,30.60333
2750,1981-07-20,233.0,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,18.58,30319.0,52.876,30.60333
2751,1981-07-21,234.35,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,19.98,30319.0,52.876,30.60333
2752,1981-07-22,234.5,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,22.36,30319.0,52.876,30.60333
2753,1981-07-23,234.9,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,20.05,30319.0,52.876,30.60333
2754,1981-07-24,234.52,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,18.65,30319.0,52.876,30.60333
2755,1981-07-27,236.1,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,18.15,30319.0,52.876,30.60333
2756,1981-07-28,237.25,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,18.15,30319.0,52.876,30.60333
2757,1981-07-29,237.85,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,17.5,30319.0,52.876,30.60333
2758,1981-07-30,238.8,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,17.59,30319.0,52.876,30.60333
2759,1981-07-31,240.4,78.1878340544668,6.25,4.91216291820522,20011.8292508853,91.5,10.3347153402771,17.46,30319.0,52.876,30.60333
2760,1981-08-03,245.4,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,18.81,,52.876,
2761,1981-08-04,246.1,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,19.92,,52.876,
2762,1981-08-05,240.9,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,19.06,,52.876,
2763,1981-08-06,239.9,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,18.96,,52.876,
2764,1981-08-07,234.9,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,18.51,,52.876,
2765,1981-08-10,236.1,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,18.11,,52.876,
2766,1981-08-11,235.75,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,17.85,,52.876,
2767,1981-08-12,230.2,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,17.58,,52.876,
2768,1981-08-13,231.7,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,17.92,,52.876,
2769,1981-08-14,233.75,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,17.53,,52.876,
2770,1981-08-17,229.8,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,18.3,,52.876,
2771,1981-08-18,229.2,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,19.75,,52.876,
2772,1981-08-19,230.35,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,18.77,,52.876,
2773,1981-08-20,228.9,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,18.38,,52.876,
2774,1981-08-21,227.25,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,17.53,,52.876,
2775,1981-08-24,228.4,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,17.92,,52.876,
2776,1981-08-25,230.6,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,17.21,,52.876,
2777,1981-08-26,230.1,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,15.77,,52.876,
2778,1981-08-27,230.95,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,17.13,,52.876,
2779,1981-08-28,229.1,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,16.15,,52.876,
2780,1981-08-31,230.5,77.8824128276915,6.25,4.91216291820522,20011.8292508853,92.2,10.3347153402771,16.83,,52.876,
2781,1981-09-01,230.95,79.0022906592008,6.25,4.91216291820522,20011.8292508853,93.1,10.3347153402771,17.52,,52.876,
2782,1981-09-02,229.7,79.0022906592008,6.25,4.91216291820522,20011.8292508853,93.1,10.3347153402771,18.32,,52.876,
2783,1981-09-03,230.4,79.0022906592008,6.25,4.91216291820522,20011.8292508853,93.1,10.3347153402771,17.16,,52.876,
2784,1981-09-04,229.7,79.0022906592008,6.25,4.91216291820522,20011.8292508853,93.1,10.3347153402771,16.42,,52.876,
2785,1981-09-07,,79.0022906592008,6.25,4.91216291820522,20011.8292508853,93.1,10.3347153402771,16.42,,52.876,
2786,1981-09-08,232.5,79.0022906592008,6.25,4.91216291820522,20011.8292508853,93.1,10.3347153402771,16.7,,52.876,
2787,1981-09-09,233.8,79.0022906592008,6.25,4.91216291820522,20011.8292508853,93.1,10.3347153402771,15.94,,52.876,
2788,1981-09-10,230.9,79.0022906592008,6.25,4.91216291820522,20011.8292508853,93.1,10.3347153402771,16.53,,52.876,
2789,1981-09-11,231.35,79.0022906592008,6.25,4.91216291820522,20011.8292508853,93.1,10.3347153402771,16.15,,52.876,
